T (BPM),beatport_key/1.0
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,1.0
57.0,1.0
58.0,0.992875449735811
59.0,0.992875449735811
60.0,0.9946565873018582
61.0,0.9946565873018582
62.0,0.9946565873018582
63.0,0.9946565873018582
64.0,0.6631043915345721
65.0,0.6631043915345721
66.0,0.6631043915345721
67.0,0.568375192743919
68.0,0.568375192743919
69.0,0.4973282936509291
70.0,0.5978626349207433
71.0,0.5978626349207433
72.0,0.5435114862915849
73.0,0.5435114862915849
74.0,0.4972391684125427
75.0,0.44134860246759205
76.0,0.4563599298896368
77.0,0.5471259978495123
78.0,0.5260054806594818
79.0,0.5121447457772217
80.0,0.41915050839896745
81.0,0.4072964371418035
82.0,0.3920986682133637
83.0,0.37521650562071596
84.0,0.3629143251085613
85.0,0.34058113587111144
86.0,0.33542081563064
87.0,0.33542081563064
88.0,0.32533789455432593
89.0,0.3206228526042632
90.0,0.3052384472526703
91.0,0.2780174297800072
92.0,0.25335913078419675
93.0,0.25664950910606943
94.0,0.24183718377360633
95.0,0.2313105226918097
96.0,0.23057097915496585
97.0,0.20742178679518566
98.0,0.12388936802399021
99.0,0.10603620830341962
100.0,0.06354556408105803
101.0,0.04338636209306378
102.0,0.042638321367321305
103.0,0.008682992432963244
104.0,0.0053836574475611835
105.0,0.004911406794266343
106.0,0.01050508796877638
107.0,0.0190578822604243
108.0,0.018376080247770196
109.0,0.03595748290653063
110.0,0.013870645170010316
111.0,0.015432452748777678
112.0,0.014111988272261579
113.0,0.018911052126335374
114.0,0.015911367995951144
115.0,0.014731510241394283
116.0,0.009449761620820228
117.0,0.008129494152284653
118.0,0.004282926900383702
119.0,0.00419126852547368
120.0,0.003069158302584741
121.0,0.0030258290089011913
122.0,0.0016518823507873249
123.0,-0.0006555184324647329
124.0,-0.0006103951371613646
125.0,-0.00059303159934277
126.0,-0.0006259313261213334
127.0,-0.0013398007723397518
128.0,-0.002536949262899935
129.0,-0.0025626343134191386
130.0,-0.029036416329131908
131.0,-0.02889389182718467
132.0,-0.028884437325272454
133.0,-0.031160861903134905
134.0,-0.03191022130761911
135.0,-0.032344075129343196
136.0,-0.0352587516393828
137.0,-0.03887923255206861
138.0,-0.042552196752455924
139.0,-0.05968872433875271
140.0,-0.06810591379278899
141.0,-0.0832874881145855
142.0,-0.08553850130687159
143.0,-0.0887804094363297
144.0,-0.09139333833813049
145.0,-0.09748622756067253
146.0,-0.11055146063166377
147.0,-0.1218812188166593
148.0,-0.1410982347223912
149.0,-0.15539873148479572
150.0,-0.16437679629965593
151.0,-0.12498877567897461
152.0,-0.12789549139243914
153.0,-0.1745874961865042
154.0,-0.18674389448814738
155.0,-0.2082166761285931
156.0,-0.29852430550487885
157.0,-0.3068166473244588
158.0,-0.32486468540236807
159.0,-0.3566165954359268
160.0,-0.39586745328391654
161.0,-0.6141097660186403
162.0,-0.5908464552650782
163.0,-0.6277743587191456
164.0,-0.6491134947210154
165.0,-0.5525732321112231
166.0,-0.5525732321112231
167.0,-0.5290244548539191
168.0,-0.5290244548539191
169.0,-0.47009764281496413
170.0,-0.47009764281496413
171.0,-0.43224747444460443
172.0,-0.43224747444460443
173.0,-0.43224747444460443
174.0,-0.43224747444460443
175.0,-0.4202200659864546
176.0,-0.5025046731822718
177.0,-0.5025046731822718
178.0,-0.5477315210747925
179.0,-0.5477315210747925
180.0,-0.6025046731822717
181.0,-0.5737907474238858
182.0,-0.5737907474238858
183.0,-0.5737907474238858
184.0,-0.5737907474238858
185.0,-0.5039921172549473
186.0,-1.0037087357812415
187.0,-1.0037087357812415
188.0,-1.0037087357812415
189.0,-1.0037087357812415
190.0,-1.0037087357812415
191.0,-1.0037087357812415
192.0,-1.0037087357812415
193.0,-1.0037087357812415
194.0,-1.0037087357812415
195.0,-1.0037087357812415
196.0,-1.0037087357812415
197.0,-1.0037087357812415
198.0,-1.0037087357812415
199.0,-1.007417471562483
200.0,-1.007417471562483
201.0,-1.007417471562483
202.0,-1.007417471562483
203.0,-1.007417471562483
204.0,-1.007417471562483
205.0,-1.007417471562483
206.0,0.0
207.0,0.0
208.0,0.0
209.0,0.0
210.0,0.0
211.0,0.0
212.0,0.0
213.0,0.0
214.0,0.0
215.0,0.0
216.0,0.0
217.0,0.0
218.0,0.0
219.0,0.0
220.0,0.0
221.0,0.0
222.0,0.0
223.0,0.0
224.0,0.0
225.0,0.0
226.0,0.0
227.0,0.0
228.0,0.0
229.0,0.0
230.0,0.0
231.0,0.0
232.0,0.0
233.0,0.0
234.0,0.0
235.0,0.0
236.0,0.0
237.0,0.0
238.0,0.0
239.0,0.0
240.0,0.0
241.0,0.0
242.0,0.0
243.0,0.0
244.0,0.0
