T (BPM),beatport_key/1.0
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,-0.0035490813998361598
59.0,-0.0035490813998361598
60.0,-0.00266181104987712
61.0,-0.00266181104987712
62.0,-0.00266181104987712
63.0,-0.00266181104987712
64.0,-0.0017745406999180799
65.0,-0.0017745406999180799
66.0,-0.0017745406999180799
67.0,-0.0015210348856440684
68.0,-0.0015210348856440684
69.0,-0.00133090552493856
70.0,-0.0010872682912505525
71.0,-0.0010872682912505525
72.0,-0.000988425719318684
73.0,-0.000988425719318684
74.0,-0.0007766202080361088
75.0,-0.025245035876005004
76.0,-0.002360072386081403
77.0,-0.029500628912307578
78.0,-0.017055202692968733
79.0,-0.01576408232557342
80.0,-0.012456730595255636
81.0,-0.012710949586995547
82.0,-0.010843565619852915
83.0,-0.023924766482513342
84.0,-0.023140347909316183
85.0,-0.02125390751710934
86.0,-0.020931878615334954
87.0,-0.020931878615334954
88.0,-0.020536047301527454
89.0,-0.02023842342759228
90.0,-0.023520944519449638
91.0,-0.023517898050355084
92.0,-0.03344058539768088
93.0,-0.03387487871453388
94.0,-0.032604570762738865
95.0,-0.03653883108697262
96.0,-0.03272623315738678
97.0,-0.04433588062360247
98.0,-0.03575816359064644
99.0,-0.03799908648320644
100.0,-0.040302974810793785
101.0,-0.05004460680639207
102.0,-0.049181768758006
103.0,-0.054117970407988616
104.0,-0.03604717471159923
105.0,-0.0328851418421607
106.0,-0.039589655209288546
107.0,-0.04427429039040944
108.0,-0.04189443558104723
109.0,-0.04565798947597789
110.0,-0.03031772387624712
111.0,-0.02719203060859965
112.0,-0.024626744702127983
113.0,-0.014957654980059087
114.0,-0.012748778212083953
115.0,-0.00833612041608698
116.0,-0.005793849044520916
117.0,-0.0033047878798103695
118.0,-0.0014315592524820992
119.0,-0.0015769530904013304
120.0,-0.002339396814060439
121.0,-0.002384607528740038
122.0,-0.0014062562997668243
123.0,-0.0013120848413783806
124.0,-0.0013280028324819252
125.0,-0.0017987235948751018
126.0,-0.0029263178225671822
127.0,-0.0019931437733460085
128.0,-0.0009943630244404573
129.0,-0.001089470151312512
130.0,-0.0004979376389157026
131.0,-0.0005335732103553205
132.0,-0.0005645232077111644
133.0,-0.0004727792075676255
134.0,-0.0003189378770192003
135.0,-0.000478574733089872
136.0,-0.0012199233988301234
137.0,-0.0010123045729778196
138.0,-0.00219458869812661
139.0,-0.0029094465540192493
140.0,-0.001992647379365792
141.0,-0.0019637260630078987
142.0,-0.0019099161345095287
143.0,-0.0021209009409879644
144.0,-0.002337555312764518
145.0,-0.002382553821240277
146.0,-0.0022282532566561637
147.0,0.0008613408586962632
148.0,0.0009135881823239523
149.0,0.0010061815791811096
150.0,0.0011626582575991837
151.0,0.0020464778389879526
152.0,0.001975514915407575
153.0,0.0023753309234545526
154.0,0.0022736092037067457
155.0,0.0015320475527606766
156.0,0.004898546527808559
157.0,0.00503461726469213
158.0,0.005620411984860701
159.0,0.005261344655336002
160.0,0.0030979083092385565
161.0,-0.0038856422001621715
162.0,-0.004114209388407005
163.0,-0.0037761740927757855
164.0,-0.002448605910288295
165.0,0.01862857971019285
166.0,0.01862857971019285
167.0,0.01864174025731592
168.0,0.01864174025731592
169.0,0.02240304787858287
170.0,0.02240304787858287
171.0,0.02400326558419593
172.0,0.02400326558419593
173.0,0.02400326558419593
174.0,0.02400326558419593
175.0,0.025106691668172195
176.0,0.035422472274044846
177.0,0.035422472274044846
178.0,0.032202247521858955
179.0,0.032202247521858955
180.0,0.036278673624387255
181.0,0.05914389661724239
182.0,0.05914389661724239
183.0,0.05914389661724239
184.0,0.05914389661724239
185.0,0.06779673718604584
186.0,-0.003708735781241492
187.0,-0.003708735781241492
188.0,-0.003708735781241492
189.0,-0.003708735781241492
190.0,-0.003708735781241492
191.0,-0.003708735781241492
192.0,-0.003708735781241492
193.0,-0.003708735781241492
194.0,-0.003708735781241492
195.0,-0.003708735781241492
196.0,-0.003708735781241492
197.0,-0.003708735781241492
198.0,-0.003708735781241492
199.0,-0.007417471562482984
200.0,-0.007417471562482984
201.0,-0.007417471562482984
202.0,-0.007417471562482984
203.0,-0.007417471562482984
204.0,-0.007417471562482984
205.0,-0.007417471562482984
206.0,0.0
207.0,0.0
208.0,0.0
209.0,0.0
210.0,0.0
211.0,0.0
212.0,0.0
213.0,0.0
214.0,0.0
215.0,0.0
216.0,0.0
217.0,0.0
218.0,0.0
219.0,0.0
220.0,0.0
221.0,0.0
222.0,0.0
223.0,0.0
224.0,0.0
225.0,0.0
226.0,0.0
227.0,0.0
228.0,0.0
229.0,0.0
230.0,0.0
231.0,0.0
232.0,0.0
233.0,0.0
234.0,0.0
235.0,0.0
