T (BPM),beatport_key/1.0
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,1.0
57.0,1.0
58.0,0.9964509186001639
59.0,0.9964509186001639
60.0,0.9973381889501229
61.0,0.9973381889501229
62.0,0.9973381889501229
63.0,0.9973381889501229
64.0,0.6648921259667486
65.0,0.6648921259667486
66.0,0.6648921259667486
67.0,0.5699075365429274
68.0,0.5699075365429274
69.0,0.49866909447506147
70.0,0.5989127317087495
71.0,0.5989127317087495
72.0,0.5444661197352269
73.0,0.5444661197352269
74.0,0.6420805226491068
75.0,0.5303105196795506
76.0,0.455973260947252
77.0,0.42211227431349885
78.0,0.39961146397369796
79.0,0.3432102766487855
80.0,0.2875432694047444
81.0,0.27300333612729016
82.0,0.25701357723728996
83.0,0.26421082673782564
84.0,0.2555481766808477
85.0,0.2402845540213522
86.0,0.2366438789604226
87.0,0.2366438789604226
88.0,0.22946395269847253
89.0,0.22613838816661064
90.0,0.21972229872379362
91.0,0.19269831816586117
92.0,0.19732864537154987
93.0,0.1998913550516999
94.0,0.19239542923726116
95.0,0.15858312013253958
96.0,0.15958145915030553
97.0,0.15566411937639751
98.0,0.12366212626442602
99.0,0.1158470673629474
100.0,0.10723800879576359
101.0,0.10785013003571317
102.0,0.10599064503509745
103.0,0.09682542581842649
104.0,0.07933744067301615
105.0,0.07237801605257614
106.0,0.06210526004494874
107.0,0.06683682072070167
108.0,0.06416617047955883
109.0,0.06040261658462817
110.0,0.04038934683082359
111.0,0.03530796939140035
112.0,0.031977028882777675
113.0,0.01782923026584255
114.0,0.014837428684467776
115.0,0.013403010018695627
116.0,0.007659065753685362
117.0,0.008145593799578943
118.0,0.004018032028171852
119.0,0.003644979024481176
120.0,4.723803080829581e-05
121.0,-3.166635226944949e-05
122.0,-0.0037481766744740844
123.0,-0.003621553663549281
124.0,-0.003580255084734177
125.0,-0.003986907402314927
126.0,-0.005067645445693522
127.0,-0.004148316187139112
128.0,-0.005213772307140878
129.0,-0.005308879434012933
130.0,-0.019401529321335365
131.0,-0.020654297556431778
132.0,-0.019906882975602846
133.0,-0.021999197994260384
134.0,-0.022363026053371905
135.0,-0.022836298310325645
136.0,-0.025610167301269148
137.0,-0.027907170098650194
138.0,-0.03160635340400896
139.0,-0.04410794842667843
140.0,-0.04744719283391125
141.0,-0.05020934009809562
142.0,-0.05145946568405907
143.0,-0.04884987290360479
144.0,-0.055222170697379905
145.0,-0.05879281023149669
146.0,-0.06300173391963958
147.0,-0.06621182987301105
148.0,-0.07270604371951654
149.0,-0.08007489950189998
150.0,-0.08787843763281177
151.0,-0.05477170397919386
152.0,-0.056164019968313356
153.0,-0.0769897484416248
154.0,-0.08247215350815765
155.0,-0.09280757508874876
156.0,-0.13023658860732656
157.0,-0.13385427162419675
158.0,-0.14143841154455106
159.0,-0.15602897792530912
160.0,-0.14841724320591299
161.0,-0.22610786442238437
