Estimator,beatport_key/1.0
0,0.0
1,0.011495638837829386
2,0.011495638837829386
3,0.01342051576232144
4,0.0
5,0.40363273600659455
6,0.0
7,0.0
8,0.013674936897076495
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.011587974275211826
18,0.0
19,0.0
20,0.0
21,0.010726406593058475
22,0.011495638837829386
23,0.0
24,0.011055188508995731
25,0.010806754956582863
26,0.0
27,0.0
28,0.0
29,0.0
30,0.011681805047635323
31,0.010053664663923084
32,0.01837852931485452
33,0.0
34,0.0
35,0.0
36,0.0
37,0.011587974275211826
38,0.0
39,0.4150374992788438
40,0.010726406593058475
41,0.011777167776353662
42,0.012278329778436691
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0189831033675728
48,0.0
49,0.02236781302845443
50,0.38224756416117445
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.011315313227834127
57,0.011495638837829386
58,0.011495638837829386
59,0.0
60,0.0
61,0.0
62,0.0
63,0.010053664663923084
64,0.0
65,0.0
66,0.0
67,0.0
68,0.016119665363276994
69,0.0
70,0.02647221136119107
71,0.011681805047635323
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.011495638837829386
80,0.0
81,0.0
82,0.0
83,0.011777167776353662
84,0.0
85,0.010124217273707341
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0946368741380752
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.009984088572622125
102,0.01122725542325414
103,0.0
104,0.0
105,0.01814734671025952
106,0.010053664663923084
107,0.0
108,0.0
109,0.0
110,0.00826761598360044
111,0.011404763272249362
112,0.008562013503424075
113,0.0
114,0.0
115,0.0
116,0.0
117,0.009984088572622125
118,0.0
119,0.024662054234269034
120,0.011495638837829386
121,0.010806754956582912
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.40161698351652225
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.01122725542325414
136,0.011777167776353662
137,0.01122725542325414
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.009586048829197932
148,0.02494635713023084
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.4340206026464166
158,0.011495638837829386
159,0.0
160,0.011777167776353662
161,0.0
162,0.0
163,0.0
164,0.01122725542325414
165,0.4288432988038743
166,0.0
167,0.014797001928080554
168,0.01630181232910054
169,0.0
170,0.0
171,0.010492373817642486
172,0.0
173,0.011315313227834127
174,0.010416615945338312
175,0.011140557605200349
176,0.0
177,0.017073513358941406
178,0.0
179,0.308752706139629
180,0.0
181,0.0
182,0.009984088572622125
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.014797001928080554
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.398549376490275
203,0.0
204,0.009586048829197932
205,0.011495638837829386
206,0.4098757941630649
207,0.0
208,0.009586048829197932
209,0.0
210,0.011495638837829386
211,0.0
212,0.01064724419950848
213,0.0
214,0.0
215,0.40964424050862547
216,0.0
217,0.0
218,0.011140557605200349
219,0.0
220,0.0
221,0.0
222,0.0
223,0.03796785019902042
224,0.40209844357134567
225,0.0
226,0.0
227,0.0
228,0.011495638837829386
229,0.0
230,0.0
231,0.0
232,0.01105518850899579
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.009984088572622125
241,0.0
242,0.0
243,0.0
244,0.010888316142736243
245,0.0
246,0.011681805047635323
247,0.011404763272249343
248,0.0
249,0.0
250,0.0
251,0.009984088572622125
252,0.022195746114196196
253,0.0
254,0.011777167776353662
255,0.0
256,0.0
257,0.011777167776353662
258,0.0
259,0.008267615983600572
260,0.015596855051018588
261,0.0
262,0.03476541816067663
263,0.0
264,0.0
265,0.01197264166607594
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.016488122788569093
282,0.0
283,0.0
284,0.0
285,0.0
286,0.011495638837829386
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
